id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
HOUSEHOLD_1_001_CA_1_validation,0.10773769821874628,0.08862232883832934,0.2586865939498052,0.36406123460858986,0.34930582914029823,0.33418057836189136,0.4376557986318124,0.16368996801373903,0.13700432902564694,0.28306761486671,0.2860087605123599,0.17670895238957304,0.23671377784428818,0.14118839990894905,0.05938100961071669,0.4019377556292478,0.1763455401825075,0.09638424192985214,0.6179286517625157,0.16734827950864803,0.41769865660803057,0.1763455401825075,0.14990822912805438,0.23082774579700738,0.2292063141306957,0.3337477388834466,0.3535321096906125,0.5299327904343369
HOUSEHOLD_1_002_CA_1_validation,0.1976874317541931,0.3200664150488019,0.22643178655058308,0.2421509011505267,0.24492570719599074,0.1763455401825075,0.08767706191130203,0.10140709088621329,0.9762214861380494,0.28812912773441673,0.35215699388700283,0.15800702121471744,0.2388358363459399,0.13700432902564694,0.40837994009127004,0.7046678547421356,0.28551461078434714,0.3559404806342645,0.16734827950864803,0.3533671260163815,0.2856792786050276,0.1336387465039104,0.35971174848449633,0.13511729446532875,0.7042291619202846,0.15142132999596306,0.06581145852292222,0.2240465742294537
HOUSEHOLD_1_003_CA_1_validation,0.29561955049618505,0.015891436449455853,0.28812912773441673,0.29118155799859746,0.142806130318779,0.09715730373815432,0.2990315399185246,0.3773915662297362,0.3115742994129994,0.42679879645293634,0.3690467136158306,0.3496715751695289,0.41820444351281855,0.9469272627452275,0.14990822912805438,0.16168105395458135,0.3954499935783572,0.1763455401825075,0.16734827950864803,0.30567837372085,0.43855544805234736,0.1316900685275994,0.1457021296006652,0.36639310391708146,0.5438461379094055,0.08075125960966138,0.3532729746858671,0.7287626006361959
HOUSEHOLD_1_004_CA_1_validation,0.16734827950864803,0.19695036318295592,0.3416675800448305,0.2144762001132949,0.051274882131403576,0.44955157577676363,0.28271374229556007,0.12330727190358592,0.33489111790205606,0.18807813476885127,0.13132127154333745,0.177748445776477,0.5253098716114839,0.34653104671823814,0.20089738425239484,0.2776720037397969,0.06789272434114842,0.24492570719599074,0.1798828683043262,0.40517522902677844,0.06461661076914023,0.7503889634376522,0.6182878853252812,0.6857304480504015,0.2097924790578765,0.4122201003265944,0.10294795805791042,0.10628965163164131
HOUSEHOLD_1_005_CA_1_validation,0.10220927634294079,1.029344275210835,0.2295794554648381,0.13394616767386303,0.3267351265531426,0.6350810070878301,0.14990822912805438,0.2518928216415264,0.18795310250909644,0.14990822912805438,0.3110023212147889,0.3729089467516812,0.8694404315799877,0.3272722546011526,0.23210081354376566,0.32522257008626354,0.25832819767403575,0.1763455401825075,0.27450477190975076,0.2421509011505267,0.11615491487127313,0.26797154471540996,0.1134305192227126,0.5274415810377526,0.5612817816798922,0.2617577868394918,0.381897321861208,0.1251382386178988
HOUSEHOLD_1_006_CA_1_validation,0.28812912773441673,0.6916657306368039,0.59781714984047,0.16734827950864803,0.9355677501340052,0.07384643194036576,1.070760319392458,0.1474423209128228,0.4955823845251645,0.1924227851142586,0.28271374229556007,0.33301916891720224,0.1763455401825075,0.23012854237123598,0.14990822912805438,0.16095671640332984,0.13700432902564694,0.31179402964212405,0.1393048713554433,0.38021781620786865,0.2618170528303659,0.1763455401825075,0.2790125708459294,0.2954372797569532,0.480905861376092,0.2207109948399438,0.35901251705030723,0.28812912773441673
HOUSEHOLD_1_007_CA_1_validation,0.7633821358719922,0.14086347152167183,0.19339700281353212,0.30379865280175683,0.3138275640093902,0.17177729624156304,0.5377712418991516,0.4215860205534651,0.3645669816486239,0.2003401939192714,0.12040878582555557,0.1746015372238578,0.33413030192982285,0.3203790287313234,0.16734827950864803,0.5697853365508073,0.06346143213101467,0.1763455401825075,0.3202592963058939,0.14489988824151215,0.28812912773441673,0.3138631285882487,0.178023178483759,0.5449855101509301,0.9092577679360051,0.7673720428182491,0.13893967863594306,0.19303139760320454
HOUSEHOLD_1_008_CA_1_validation,0.1763455401825075,0.5875516511041475,0.33689845188505496,0.7766583855334456,0.16734827950864803,0.07063010790284159,0.11407416592006532,0.3457850155913787,0.16649292635004118,0.05379186062259699,0.1796139943419469,0.2948454858775509,0.24275285137518932,0.30379396045995377,0.40024242881548094,0.11615491487127313,0.386777481041042,0.33753033878009203,0.31124115376821626,0.48170970721893763,0.13700432902564694,0.17446099545635932,0.1561134552368433,0.140370783886447,0.7452971487593326,0.675324291550612,0.4626462370561854,0.14990822912805438
HOUSEHOLD_1_009_CA_1_validation,0.13955621733929283,0.15668296235493287,0.28812912773441673,0.24020542266537032,0.12731204249832473,1.065238690163269,0.4931588729314507,0.34964587980550776,0.11911409731569951,0.28812912773441673,0.19228423429624045,0.24269291349720118,0.1763455401825075,0.81155760062155,0.28812912773441673,0.28812912773441673,0.26546821393823355,0.8928151408331307,0.2621338230207729,0.3332607984566276,0.10320214190508484,0.8330016418566365,0.13341193187386027,0.22167275574744513,0.2949435132132999,0.12860479414842127,0.2428448755280484,0.1904302414461642
HOUSEHOLD_1_010_CA_1_validation,0.06630636977760766,0.25952635085949743,0.07008209206300384,0.16734827950864803,0.4654976878538409,0.09411782242755698,0.12905881497368063,0.2992873616037278,0.2619420136784028,0.14990822912805438,0.14990822912805438,0.10154682780940053,0.0905905907627365,0.12580675450384504,0.2566093862177686,0.1763455401825075,0.36934567566597487,0.06506208460107447,0.28392302820702753,0.16734827950864803,0.9835796752154318,0.1763455401825075,0.1763455401825075,0.4002701762363244,0.4513186814921858,0.21884162720794878,0.3788013370148169,0.1499853400978794
